TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,1/1/2024,0:00,0:29,0.49,kWh,$0.06 ,
Electric usage,1/1/2024,0:30,0:59,0.98,kWh,$0.12 ,
Electric usage,1/1/2024,1:00,1:29,1.03,kWh,$0.13 ,
Electric usage,1/1/2024,1:30,1:59,1.13,kWh,$0.14 ,
Electric usage,1/1/2024,2:00,2:29,1.13,kWh,$0.14 ,
Electric usage,1/1/2024,2:30,2:59,0.91,kWh,$0.11 ,
Electric usage,1/1/2024,3:00,3:29,0.54,kWh,$0.07 ,
Electric usage,1/1/2024,3:30,3:59,0.49,kWh,$0.06 ,
Electric usage,1/1/2024,4:00,4:29,0.45,kWh,$0.06 ,
Electric usage,1/1/2024,4:30,4:59,0.49,kWh,$0.06 ,
Electric usage,1/1/2024,5:00,5:29,0.35,kWh,$0.04 ,
Electric usage,1/1/2024,5:30,5:59,0.44,kWh,$0.05 ,
Electric usage,1/1/2024,6:00,6:29,0.56,kWh,$0.07 ,
Electric usage,1/1/2024,6:30,6:59,0.43,kWh,$0.05 ,
Electric usage,1/1/2024,7:00,7:29,0.53,kWh,$0.06 ,
Electric usage,1/1/2024,7:30,7:59,0.84,kWh,$0.10 ,
Electric usage,1/1/2024,8:00,8:29,0.64,kWh,$0.08 ,
Electric usage,1/1/2024,8:30,8:59,0.66,kWh,$0.08 ,
Electric usage,1/1/2024,9:00,9:29,0.75,kWh,$0.09 ,
Electric usage,1/1/2024,9:30,9:59,0.7,kWh,$0.09 ,
Electric usage,1/1/2024,10:00,10:29,0.64,kWh,$0.08 ,
Electric usage,1/1/2024,10:30,10:59,1.52,kWh,$0.19 ,
Electric usage,1/1/2024,11:00,11:29,1.45,kWh,$0.18 ,
Electric usage,1/1/2024,11:30,11:59,1.42,kWh,$0.17 ,
Electric usage,1/1/2024,12:00,12:29,1.55,kWh,$0.19 ,
Electric usage,1/1/2024,12:30,12:59,1.43,kWh,$0.17 ,
Electric usage,1/1/2024,13:00,13:29,1.02,kWh,$0.12 ,
Electric usage,1/1/2024,13:30,13:59,0.61,kWh,$0.07 ,
Electric usage,1/1/2024,14:00,14:29,0.67,kWh,$0.08 ,
Electric usage,1/1/2024,14:30,14:59,0.69,kWh,$0.08 ,
Electric usage,1/1/2024,15:00,15:29,1.11,kWh,$0.14 ,
Electric usage,1/1/2024,15:30,15:59,0.77,kWh,$0.09 ,
Electric usage,1/1/2024,16:00,16:29,1.52,kWh,$0.19 ,
Electric usage,1/1/2024,16:30,16:59,1.41,kWh,$0.17 ,
Electric usage,1/1/2024,17:00,17:29,1.02,kWh,$0.12 ,
Electric usage,1/1/2024,17:30,17:59,1.06,kWh,$0.13 ,
Electric usage,1/1/2024,18:00,18:29,0.99,kWh,$0.12 ,
Electric usage,1/1/2024,18:30,18:59,1.06,kWh,$0.13 ,
Electric usage,1/1/2024,19:00,19:29,1.3,kWh,$0.16 ,
Electric usage,1/1/2024,19:30,19:59,1.2,kWh,$0.15 ,
Electric usage,1/1/2024,20:00,20:29,1.29,kWh,$0.16 ,
Electric usage,1/1/2024,20:30,20:59,0.98,kWh,$0.12 ,
Electric usage,1/1/2024,21:00,21:29,0.86,kWh,$0.11 ,
Electric usage,1/1/2024,21:30,21:59,2.12,kWh,$0.26 ,
Electric usage,1/1/2024,22:00,22:29,1.75,kWh,$0.21 ,
Electric usage,1/1/2024,22:30,22:59,1.59,kWh,$0.19 ,
Electric usage,1/1/2024,23:00,23:29,1.22,kWh,$0.15 ,
Electric usage,1/1/2024,23:30,23:59,1.23,kWh,$0.15 ,
Electric usage,1/2/2024,0:00,0:29,1.33,kWh,$0.17 ,
Electric usage,1/2/2024,0:30,0:59,1.08,kWh,$0.14 ,
Electric usage,1/2/2024,1:00,1:29,0.75,kWh,$0.10 ,
Electric usage,1/2/2024,1:30,1:59,0.73,kWh,$0.09 ,
Electric usage,1/2/2024,2:00,2:29,0.7,kWh,$0.09 ,
Electric usage,1/2/2024,2:30,2:59,0.66,kWh,$0.08 ,
